[2026-05-05 15:38:17.314] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.324] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:17.337] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:17.350] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.362] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.373] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.386] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.397] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.410] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.423] tag=0x0001  rs= 0  na= 1 | 1005 : 6613
[2026-05-05 15:38:17.435] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.446] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.460] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:17.472] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.483] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.495] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.508] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.520] tag=0x0001  rs= 0  na= 1 | 1005 : 6529
[2026-05-05 15:38:17.532] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:17.544] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.556] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.568] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:17.580] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.592] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.605] tag=0x0001  rs= 0  na= 1 | 1005 : 6538
[2026-05-05 15:38:17.617] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.629] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.641] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:17.653] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.666] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.678] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.690] tag=0x0001  rs= 0  na= 1 | 1005 : 6538
[2026-05-05 15:38:17.702] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.714] tag=0x0001  rs= 0  na= 1 | 1005 : 6613
[2026-05-05 15:38:17.726] tag=0x0001  rs= 0  na= 1 | 1005 : 6613
[2026-05-05 15:38:17.739] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.751] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.763] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.776] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:17.788] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.799] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.812] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.825] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.837] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:17.848] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.860] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.873] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:17.885] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.897] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.909] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.922] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:17.934] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.946] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.958] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.971] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:17.983] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:17.995] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:18.007] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:18.019] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:18.032] tag=0x0001  rs= 0  na= 1 | 1005 : 6642
[2026-05-05 15:38:18.044] tag=0x0001  rs= 0  na= 1 | 1005 : 6613
[2026-05-05 15:38:18.056] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:18.068] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
